outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	MANF	Wald ratio	1	0.0213629301695383	0.0733041989906789	0.770723647155107	0.980031146911782	1.02159275119482	1.17943930487582	0.884871095086735
I35.0 and I35.2 UKB	UST	Wald ratio	1	-0.00550503251727303	0.150127453842579	0.970748879093623	0.988131628264842	0.994510092407107	1.33475102591063	0.740999860423269
I35.0 and I35.2 UKB	NRP2	Wald ratio	1	0.163454999971587	0.105303638534542	0.12060826073279	0.776525462042677	1.17757236320531	1.44751766110486	0.957968740448055
I35.0 and I35.2 UKB	WFDC5	Wald ratio	1	0.00675548920954234	0.116041925931444	0.953576628007584	0.982977971126859	1.00677835899663	1.26389429396473	0.801967909012683
I35.0 and I35.2 UKB	CD14	Wald ratio	1	0.0689551788885959	0.0722286534513109	0.339740051127888	0.915338819823354	1.07138818726286	1.23432386157682	0.929960672023319
I35.0 and I35.2 UKB	KIAA1549L	Wald ratio	1	0.0865318075319216	0.047269598382863	0.0671600134602573	0.67802272248655	1.09038604965528	1.19623631088393	0.993902063049999
I35.0 and I35.2 UKB	CTSD	Wald ratio	1	0.117398616093887	0.0632360483339934	0.0633803135015673	0.67802272248655	1.12456761110689	1.27295538372726	0.993477326948973
I35.0 and I35.2 UKB	SIGLEC14	Wald ratio	1	-0.0123081000124137	0.0271839189881305	0.650713387546769	0.967189539621898	0.987767334846775	1.04182333124241	0.936516085339312
I35.0 and I35.2 UKB	CSGALNACT2	Wald ratio	1	-0.110592628802614	0.116896894962124	0.34411295649731	0.915338819823354	0.895303395466975	1.1258353408525	0.71197637953676
I35.0 and I35.2 UKB	PF4V1	Wald ratio	1	0.0718566250667606	0.0452769412354792	0.112502043686427	0.776525462042677	1.07450127647058	1.17421451935499	0.983255592658761
I35.0 and I35.2 UKB	PSG4	Wald ratio	1	0.0228887604620642	0.0314583107425632	0.46686444526787	0.933829395300198	1.02315271818101	1.08822404344371	0.961972390729793
