outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	GFER	Wald ratio	1	0.213515906720464	0.305791679651361	0.48502726981576	0.946186479507484	1.23802319100029	2.25436333625793	0.679882163093864
I35.0 and I35.2 UKB	SFTPD	Wald ratio	1	0.0508402885001473	0.0274940159243444	0.0644375793709025	0.688815503619992	1.05215483863608	1.11040915966238	0.996956657671937
I35.0 and I35.2 UKB	NOTCH3	Wald ratio	1	0.313230776334071	0.158072358398977	0.0475278602049438	0.629103917707607	1.36783715905164	1.86461127324833	1.00341477096351
I35.0 and I35.2 UKB	CNTN1	Wald ratio	1	0.0103546737721873	0.108235211234352	0.923784054181615	0.987868607433362	1.0104084689234	1.24919043286946	0.817269526894322
I35.0 and I35.2 UKB	ITGAV	Wald ratio	1	0.140186248772092	0.142825244415007	0.326334944929824	0.904656271151124	1.15048805589177	1.52214987626242	0.869574532305402
I35.0 and I35.2 UKB	TPPP3	Wald ratio	1	-0.40527413700137	0.33075621952316	0.220463869551712	0.855327224845981	0.666793992895292	1.27507889262409	0.348695466243849
I35.0 and I35.2 UKB	CRADD	Wald ratio	1	-0.0969649135913544	0.291728238533666	0.739601609646652	0.9822509460964	0.907587849572805	1.60772869408029	0.512347454968702
I35.0 and I35.2 UKB	MATN3	Wald ratio	1	0.0075517288583154	0.0381743107847196	0.843184120660149	0.9822509460964	1.00758031507584	1.08586117081669	0.934942807251098
I35.0 and I35.2 UKB	CHRDL2	Wald ratio	1	-0.000527060695844358	0.0788717089165251	0.994668171037063	0.996941216369048	0.999473078176245	1.1665626150858	0.85631617290052
I35.0 and I35.2 UKB	MUC16	Wald ratio	1	-0.204167181700793	0.307601143221803	0.506856735686904	0.946287964679687	0.815326052196483	1.48993286070699	0.446165454109704
I35.0 and I35.2 UKB	CDH3	Wald ratio	1	-0.233704867502432	0.225817539689456	0.3007025934791	0.9021077804373	0.79159540695325	1.23231869207108	0.508491263129634
I35.0 and I35.2 UKB	TLR3	Wald ratio	1	0.0298669729722983	0.0194819129656349	0.125260674023234	0.797917280331485	1.03031746476684	1.07042045767292	0.99171691889313
I35.0 and I35.2 UKB	TREM2	Wald ratio	1	0.0955671424458393	0.0697482831760845	0.170633226443366	0.839623812657834	1.10028269522517	1.26146504226563	0.959695250244618
I35.0 and I35.2 UKB	SSC4D	Wald ratio	1	0.0500521076453912	0.0614745870196917	0.415535054477127	0.928441460984209	1.05132587706476	1.1859478143355	0.93198544356295
I35.0 and I35.2 UKB	CD38	Wald ratio	1	-0.00438107856955121	0.058052407888342	0.939842638834486	0.98981073281147	0.995628504355541	1.11561033510059	0.888550497872422
I35.0 and I35.2 UKB	ADAMTS13	Wald ratio	1	-0.0104544079549968	0.0545102117911954	0.847908221422783	0.9822509460964	0.989600049429395	1.10118360641384	0.88932331731664
